Count,ID,Name,URL,Description
281,778927219422797824,QuizKnock/クイズノック,https://twitter.com/QuizKnock,QuizKnock（クイズノック）は、東大クイズ王・伊沢拓司が中心となって運営する、エンタメと知を融合させたメディア。「楽しいから始まる学び」をコンセプトに、何かを「知る」きっかけとなるような記事や動画を毎日発信中です！https://t.co/JYxdYRPCxi
181,1257180002,伊沢拓司,https://twitter.com/tax_i_,クイズプレーヤーでYouTuber/@QuizKnock CEO/『東大王』『たまむすび』『冒険少年』『今でしょ講座』『ONE NUMBER』『スポーツ漫画みてぇな話』/ワタナベエンタ所属/巨人ファン/トッテナムホットスパーのサポーター/#COYS/何かありましたらtaxi0info@gmail.com へ
181,874501931758047232,ふっくらポリエステル（QuizKnockクイズノック）,https://twitter.com/fukura_p,"元の名をふくらP。詳細は
https://t.co/PLiHJHYK91
本名を福良拳。2016年12月よりQuizKnockメンバー。
https://t.co/hTyCLbZRXl
お問い合わせはこちらから。
https://t.co/LLngLZOFKN"
160,958943678952648704,須貝 駿貴,https://twitter.com/Sugai_Shunki,"ナイスガイの須貝でーす！
博士（学術）。QuizKnock 2017.11～
https://t.co/50BgTuvEqz
QuizKnockについての質問、お問い合わせは
https://t.co/ZVa21fROTB"
154,780770015121281024,河村・拓哉,https://twitter.com/kawamura_domo,"クイズをやっています　 東大クイズ研OB /
YouTuber, @QuizKnock (2016-10~, 動画企画etc.) /
▼お問い合わせ https://t.co/w92QmqCfer"
151,991675491324084224,山本 祥彰,https://twitter.com/quiz_yamamoto,QuizKnock(@QuizKnock )で動画出演・ナゾ制作などなど(2017.09〜)/質問・お問い合わせは https://t.co/O2B1A9fNi8 まで
144,732924494,こうちゃん,https://twitter.com/Miracle_Fusion,本名は渡辺航平でございます。@QuizKnock (2017年6月〜) 『Qさま!!』優勝経験あり。 クイズ/カラオケ/遊戯王/仮面ライダー/ポケモン/ダーツ/麻雀/ディズニーなど お仕事に関する質問・お問い合わせは https://t.co/c7HRw2vfcJ まで
124,1212690333462458369,乾,https://twitter.com/QK_inui,東京大学 経済学部経営学科4年/ QuizKnock(@QuizKnock)動画編集(2018.11〜)ライター(2019.11〜) 質問・お問い合わせは https://t.co/d0bseg3Ktq まで
123,1111604531039596544,山上大喜,https://twitter.com/yamagamiQuiz,クイズ好き。QuizKnockライター(2019年の春から)。東大4年(入学からは5年目)。質問・お問い合わせはhttps://t.co/oaBuplUaP3まで
120,791261566058369024,鶴崎 修功,https://twitter.com/Tsurusaki_H,東京大学クイズ研究会(TQC)の鶴崎です。TBS「東大王」にて優勝しました。東大クイズ研中心のメディア「QuizKnock」にてライターを務めています。
115,1121007086635106304,林輝幸,https://twitter.com/jusco_hayashi,ジャスコ/クイズ制作集団・Q星群代表/TQC(東京大学クイズ研究会)OB/『東大王』OB/QuizKnock(2019.9〜2021.7) クイズ制作に関するご相談は https://t.co/7hYUf09jNX までお願いします
54,130447415,HIKAKIN😎ヒカキン 【YouTuber】,https://twitter.com/hikakin,ユーチューバー。2006年からYouTubeやってます。YouTube&SNSフォロワー計2300万人突破。再生回数計150億回突破。UUUM株式会社最高顧問&ファウンダー。インスタTikTokもフォロー是非 ！コラボ依頼やお仕事依頼などのDMは返信出来ませんので全て事務所までお願いします！
53,1420643716138631171,QuizKnockと学ぼう【公式】,https://twitter.com/QuizKnock_manab,@QuizKnock の新チャンネル「QuizKnockと学ぼう」公式アカウントです。勉強ライブの予定や、学びに関する情報、チャンネルの裏話などを発信予定。宣言用タグ→ #QuizKnockと学ぼう ／交流用タグ→ #QK学ぼうメイト
52,2927187427,はなお,https://twitter.com/hanao87_0,はなおでんがん/ なんでもコンテンツ屋さん / 歌すき/ アニメすき/積乱雲と夏マニア/相方→@dengan875 普段呟くのはこっちサブ垢→@hanao_sakebu
51,1351887629894094851,QuizKnock編集部,https://twitter.com/QuizKnock_Web,"Webメディア QuizKnock（クイズノック）は、「楽しいから始まる学び」をコンセプトに、何かを「知る」きっかけとなるような記事を配信中！当アカウントでは編集部が新しい記事や今読んでほしい記事などをお届けします！
お問い合わせ：https://t.co/fIM45aWqLD"
47,795985304876249088,松丸 亮吾 🍥,https://twitter.com/ryogomatsumaru,公式マークないままフォロワー50万行ったら女装企画やることになりました。なんで？？朝は猫bot、昼は謎解き・脱出ゲームをつくる仕事をしてます。#ポケモン #プロセカ #AmongUs などゲームが大好き @riddler_nazo
